,F,I,tfidf,H,H-tilde,H-tilde_std,N
AL627309.1,5.806027585598265e-07,-0.0026666666666683714,5.470869131746186,1.584962500721156,1.5822958340544877,0.04207929023543386,3
AL669831.5,9.676712642663775e-06,0.14162579697723743,3.165104302836403,5.388758439731455,5.530384236708692,0.06549712719701982,50
FAM87B,3.8706850570655096e-07,6.661338147750939e-16,5.8763342398543505,1.0,1.0000000000000007,0.0,2
LINC00115,4.838356321331887e-06,0.10511687199862418,3.7325947874838543,4.483856189774724,4.588973061773348,0.06549823809002175,25
FAM41C,4.451287815625336e-06,0.035105720650864036,3.636549829194888,4.436605434317882,4.471711154968746,0.0663732688677492,23
NOC2L,3.6771508042122346e-05,-0.048570586520868986,1.7931425877790705,7.2250673188344905,7.1764967323136215,0.05874439753822595,190
KLHL17,1.935342528532755e-06,-0.021750977500473834,4.26689632742025,3.321928094887362,3.3001771173868883,0.06495440001332141,10
PLEKHN1,1.5482740228262038e-06,-0.014844360937771306,4.49003987873446,3.0,2.9851556390622287,0.06379976389329454,8
AL645608.8,2.9030137927991324e-06,0.23541634083322593,4.620613918791645,3.640223928941852,3.875640269775078,0.0629242158149294,15
HES4,3.6771508042122346e-05,1.6857052685831855,6.851016195359021,5.490398104601887,7.1761033731850725,0.06230644261066685,190
ISG15,8.283266022120191e-05,0.7162560422024935,2.3662911548541485,7.245167424529114,7.961423466731608,0.04812166689247389,428
AGRN,9.676712642663775e-07,-0.0103999999999691,4.960043507980195,2.321928094887362,2.311528094887393,0.06365406506951911,5
C1orf159,4.0642193099187856e-06,-0.04504948095315875,3.524958982690873,4.392317422778761,4.347267941825602,0.06608387548731016,21
LINC01342,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
TTLL10,3.8706850570655096e-07,6.661338147750939e-16,5.8763342398543505,1.0,1.0000000000000007,0.0,2
TNFRSF18,8.902575631250672e-06,0.5462371143981235,4.283539318533319,4.871388043013535,5.417625157411658,0.06548604726465673,46
TNFRSF4,1.3160329194022733e-05,0.641212148755252,4.051676557106818,5.295193679766116,5.936405828521368,0.0672915622489613,68
SDF4,5.457665930462369e-05,-0.06042823440790457,1.5199796015916816,7.6457273064194275,7.585299072011523,0.056824848964650114,282
B3GALT6,1.5095671722555488e-05,0.04308098276153416,2.5862417416066443,6.070595968834512,6.113676951596046,0.06693054888431663,78
C1QTNF12,9.676712642663775e-07,-0.008799999999968833,4.960043507980195,2.321928094887362,2.3131280948873933,0.05867333295351263,5
AL162741.1,3.8706850570655096e-07,-0.0009999999999992237,5.8763342398543505,1.0,0.9990000000000008,0.03160696125854548,2
UBE2J2,3.773917930638872e-05,-0.1082936667150971,1.6948507997576074,7.308537172690685,7.200243505975588,0.06186086254090355,195
LINC01786,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
